benchtree20 , exec , mcrl2 , timeout , 140.09 , 10076 , 1772
benchtree20 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1880
benchtree20 , exec , mcrl2-jittyc , timeout , 140.09 , 10076 , 1892
benchtree22 , comp , mcrl2 , 0 , 0.20 , 10076 , 1772
benchtree22 , exec , mcrl2 , timeout , 140.10 , 10076 , 1912
benchtree22 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1732
benchtree22 , exec , mcrl2-jittyc , timeout , 140.01 , 10076 , 1740
binarysearch , comp , mcrl2 , 0 , 0.20 , 10076 , 1772
binarysearch , exec , mcrl2 , timeout , 140.10 , 10076 , 1772
binarysearch , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
binarysearch , exec , mcrl2-jittyc , timeout , 140.01 , 10076 , 1892
bubblesort10 , comp , mcrl2 , 0 , 0.10 , 4080 , 80
bubblesort10 , exec , mcrl2 , 0 , 0.10 , 4080 , 80
bubblesort10 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
bubblesort10 , exec , mcrl2-jittyc , 0 , 10.91 , 10076 , 1884
bubblesort20 , comp , mcrl2 , 0 , 0.10 , 4080 , 80
bubblesort20 , exec , mcrl2 , 0 , 0.10 , 4080 , 76
bubblesort20 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
bubblesort20 , exec , mcrl2-jittyc , 0 , 10.91 , 10076 , 1884
bubblesort100 , comp , mcrl2 , 0 , 0.10 , 4080 , 80
bubblesort100 , exec , mcrl2 , 0 , 0.30 , 10076 , 1908
bubblesort100 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
bubblesort100 , exec , mcrl2-jittyc , 0 , 11.11 , 10076 , 1736
bubblesort720 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
bubblesort720 , exec , mcrl2 , 0 , 94.40 , 10076 , 1772
bubblesort720 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
bubblesort720 , exec , mcrl2-jittyc , 0 , 13.81 , 10076 , 1880
bubblesort1000 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
bubblesort1000 , exec , mcrl2 , timeout , 140.05 , 10076 , 1800
bubblesort1000 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
bubblesort1000 , exec , mcrl2-jittyc , 0 , 17.11 , 10076 , 1852
dart , comp , mcrl2 , 0 , 0.10 , 4080 , 80
dart , exec , mcrl2 , kill-11 , 0.30 , 10076 , 1888
dart , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
dart , exec , mcrl2-jittyc , kill-11 , 0.30 , 10076 , 1732
evalexpr , comp , mcrl2 , 0 , 0.10 , 4080 , 76
evalexpr , exec , mcrl2 , 0 , 68.55 , 10076 , 1884
evalexpr , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
evalexpr , exec , mcrl2-jittyc , 0 , 14.52 , 10076 , 1908
evalsym , comp , mcrl2 , 0 , 0.10 , 4080 , 76
evalsym , exec , mcrl2 , timeout , 140.11 , 10076 , 1732
evalsym , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
evalsym , exec , mcrl2-jittyc , 0 , 39.93 , 10076 , 1848
evaltree , comp , mcrl2 , 0 , 0.10 , 4080 , 76
evaltree , exec , mcrl2 , timeout , 140.10 , 10076 , 1728
evaltree , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
evaltree , exec , mcrl2-jittyc , timeout , 140.10 , 10076 , 1732
